,sid,gid,order,variable,value
186,12010050705,181,31,self_x,660
187,12010050705,241,32,self_x,740
188,12010050705,161,33,self_x,620
189,12010050705,211,34,self_x,600
190,12010050705,201,35,self_x,690
191,12010050705,171,36,self_x,640
192,12010050705,231,37,self_x,670
193,12010050705,261,38,self_x,790
194,12010050705,191,39,self_x,680
195,12010050706,91,1,self_x,350
196,12010050706,41,2,self_x,370
197,12010050706,291,3,self_x,890
198,12010050706,31,4,self_x,350
199,12010050706,341,5,self_x,870
200,12010050706,111,6,self_x,470
201,12010050706,331,7,self_x,960
202,12010050706,11,8,self_x,450
203,12010050706,51,9,self_x,390
204,12010050706,351,10,self_x,890
205,12010050706,101,11,self_x,400
206,12010050706,311,12,self_x,930
207,12010050706,381,13,self_x,1050
208,12010050706,271,14,self_x,990
209,12010050706,61,15,self_x,410
210,12010050706,131,16,self_x,520
211,12010050706,321,17,self_x,950
212,12010050706,21,18,self_x,430
213,12010050706,71,19,self_x,420
214,12010050706,281,20,self_x,970
215,12010050706,361,21,self_x,940
216,12010050706,301,22,self_x,910
217,12010050706,81,23,self_x,330
218,12010050706,391,24,self_x,1060
219,12010050706,121,25,self_x,510
220,12010050706,371,26,self_x,1010
221,12010050706,181,27,self_x,660
222,12010050706,211,28,self_x,600
223,12010050706,151,29,self_x,700
224,12010050706,231,30,self_x,670
225,12010050706,161,31,self_x,620
226,12010050706,251,32,self_x,780
227,12010050706,221,33,self_x,620
228,12010050706,191,34,self_x,680
229,12010050706,241,35,self_x,740
230,12010050706,261,36,self_x,790
231,12010050706,171,37,self_x,640
232,12010050706,201,38,self_x,690
233,12010050706,141,39,self_x,720
234,12010051907,111,1,self_x,470
235,12010051907,381,2,self_x,1050
236,12010051907,291,3,self_x,890
237,12010051907,361,4,self_x,940
238,12010051907,101,5,self_x,400
239,12010051907,391,6,self_x,1060
240,12010051907,331,7,self_x,960
241,12010051907,71,8,self_x,420
242,12010051907,131,9,self_x,520
243,12010051907,51,10,self_x,390
244,12010051907,31,11,self_x,350
245,12010051907,21,12,self_x,430
246,12010051907,311,13,self_x,930
247,12010051907,91,14,self_x,350
248,12010051907,121,15,self_x,510
249,12010051907,271,16,self_x,990
250,12010051907,41,17,self_x,370
251,12010051907,341,18,self_x,870
252,12010051907,61,19,self_x,410
253,12010051907,301,20,self_x,910
254,12010051907,11,21,self_x,450
255,12010051907,281,22,self_x,970
256,12010051907,321,23,self_x,950
257,12010051907,81,24,self_x,330
258,12010051907,371,25,self_x,1010
259,12010051907,351,26,self_x,890
260,12010051907,181,27,self_x,660
261,12010051907,171,28,self_x,640
262,12010051907,261,29,self_x,790
263,12010051907,251,30,self_x,780
264,12010051907,221,31,self_x,620
265,12010051907,161,32,self_x,620
266,12010051907,141,33,self_x,720
267,12010051907,241,34,self_x,740
268,12010051907,201,35,self_x,690
269,12010051907,191,36,self_x,680
270,12010051907,231,37,self_x,670
271,12010051907,211,38,self_x,600
272,12010051907,151,39,self_x,700
273,22010050501,381,1,self_x,1050
274,22010050501,291,2,self_x,890
275,22010050501,321,3,self_x,950
276,22010050501,121,4,self_x,510
277,22010050501,11,5,self_x,450
278,22010050501,41,6,self_x,370
279,22010050501,361,7,self_x,940
280,22010050501,391,8,self_x,1060
281,22010050501,311,9,self_x,930
282,22010050501,341,10,self_x,870
283,22010050501,51,11,self_x,390
284,22010050501,371,12,self_x,1010
285,22010050501,101,13,self_x,400
286,22010050501,61,14,self_x,410
287,22010050501,351,15,self_x,890
288,22010050501,131,16,self_x,520
289,22010050501,271,17,self_x,990
290,22010050501,281,18,self_x,970
291,22010050501,301,19,self_x,910
292,22010050501,111,20,self_x,470
293,22010050501,31,21,self_x,350
294,22010050501,21,22,self_x,430
295,22010050501,91,23,self_x,350
296,22010050501,331,24,self_x,960
297,22010050501,71,25,self_x,420
298,22010050501,81,26,self_x,330
299,22010050501,261,27,self_x,790
300,22010050501,201,28,self_x,690
301,22010050501,241,29,self_x,740
302,22010050501,231,30,self_x,670
303,22010050501,141,31,self_x,720
304,22010050501,171,32,self_x,640
305,22010050501,151,33,self_x,700
306,22010050501,161,34,self_x,620
307,22010050501,221,35,self_x,620
308,22010050501,181,36,self_x,660
309,22010050501,251,37,self_x,780
310,22010050501,211,38,self_x,600
311,22010050501,191,39,self_x,680
312,22010050603,111,1,self_x,470
313,22010050603,291,2,self_x,890
314,22010050603,371,3,self_x,1010
315,22010050603,311,4,self_x,930
316,22010050603,361,5,self_x,940
317,22010050603,91,6,self_x,350
318,22010050603,41,7,self_x,370
319,22010050603,301,8,self_x,910
320,22010050603,381,9,self_x,1050
321,22010050603,51,10,self_x,390
322,22010050603,121,11,self_x,510
323,22010050603,81,12,self_x,330
324,22010050603,101,13,self_x,400
325,22010050603,281,14,self_x,970
326,22010050603,331,15,self_x,960
327,22010050603,271,16,self_x,990
328,22010050603,11,17,self_x,450
329,22010050603,31,18,self_x,350
330,22010050603,321,19,self_x,950
331,22010050603,71,20,self_x,420
332,22010050603,341,21,self_x,870
333,22010050603,351,22,self_x,890
334,22010050603,61,23,self_x,410
335,22010050603,391,24,self_x,1060
336,22010050603,131,25,self_x,520
337,22010050603,21,26,self_x,430
338,22010050603,251,27,self_x,780
339,22010050603,161,28,self_x,620
340,22010050603,221,29,self_x,620
341,22010050603,151,30,self_x,700
342,22010050603,261,31,self_x,790
343,22010050603,181,32,self_x,660
344,22010050603,201,33,self_x,690
345,22010050603,231,34,self_x,670
346,22010050603,241,35,self_x,740
347,22010050603,211,36,self_x,600
348,22010050603,171,37,self_x,640
349,22010050603,141,38,self_x,720
350,22010050603,191,39,self_x,680
351,22010050704,31,1,self_x,350
352,22010050704,311,2,self_x,930
353,22010050704,341,3,self_x,870
354,22010050704,371,4,self_x,1010
355,22010050704,41,5,self_x,370
356,22010050704,101,6,self_x,400
357,22010050704,131,7,self_x,520
358,22010050704,51,8,self_x,390
359,22010050704,331,9,self_x,960
360,22010050704,121,10,self_x,510
361,22010050704,271,11,self_x,990
362,22010050704,61,12,self_x,410
363,22010050704,111,13,self_x,470
364,22010050704,281,14,self_x,970
365,22010050704,361,15,self_x,940
366,22010050704,301,16,self_x,910
367,22010050704,291,17,self_x,890
368,22010050704,71,18,self_x,420
369,22010050704,11,19,self_x,450
370,22010050704,91,20,self_x,350
371,22010050704,391,21,self_x,1060
372,22010050704,21,22,self_x,430
373,22010050704,321,23,self_x,950
374,22010050704,351,24,self_x,890
375,22010050704,81,25,self_x,330
376,22010050704,381,26,self_x,1050
377,22010050704,241,27,self_x,740
378,22010050704,151,28,self_x,700
379,22010050704,181,29,self_x,660
380,22010050704,261,30,self_x,790
381,22010050704,191,31,self_x,680
382,22010050704,171,32,self_x,640
383,22010050704,231,33,self_x,670
384,22010050704,211,34,self_x,600
385,22010050704,161,35,self_x,620
386,22010050704,251,36,self_x,780
387,22010050704,201,37,self_x,690
388,22010050704,141,38,self_x,720
389,22010050704,221,39,self_x,620
390,22010050705,291,1,self_x,890
391,22010050705,381,2,self_x,1050
392,22010050705,271,3,self_x,990
393,22010050705,41,4,self_x,370
394,22010050705,361,5,self_x,940
395,22010050705,341,6,self_x,870
396,22010050705,331,7,self_x,960
397,22010050705,301,8,self_x,910
398,22010050705,101,9,self_x,400
399,22010050705,31,10,self_x,350
400,22010050705,81,11,self_x,330
401,22010050705,371,12,self_x,1010
402,22010050705,71,13,self_x,420
403,22010050705,281,14,self_x,970
404,22010050705,121,15,self_x,510
405,22010050705,21,16,self_x,430
406,22010050705,391,17,self_x,1060
407,22010050705,11,18,self_x,450
408,22010050705,311,19,self_x,930
409,22010050705,111,20,self_x,470
410,22010050705,131,21,self_x,520
411,22010050705,351,22,self_x,890
412,22010050705,51,23,self_x,390
413,22010050705,321,24,self_x,950
414,22010050705,91,25,self_x,350
415,22010050705,61,26,self_x,410
416,22010050705,221,27,self_x,620
417,22010050705,191,28,self_x,680
418,22010050705,241,29,self_x,740
419,22010050705,211,30,self_x,600
420,22010050705,181,31,self_x,660
421,22010050705,141,32,self_x,720
422,22010050705,261,33,self_x,790
423,22010050705,251,34,self_x,780
424,22010050705,151,35,self_x,700
425,22010050705,231,36,self_x,670
426,22010050705,171,37,self_x,640
427,22010050705,201,38,self_x,690
428,22010050705,161,39,self_x,620
429,22010050706,101,1,self_x,400
430,22010050706,321,2,self_x,950
431,22010050706,61,3,self_x,410
432,22010050706,71,4,self_x,420
433,22010050706,131,5,self_x,520
434,22010050706,91,6,self_x,350
435,22010050706,271,7,self_x,990
436,22010050706,41,8,self_x,370
437,22010050706,111,9,self_x,470
438,22010050706,381,10,self_x,1050
439,22010050706,391,11,self_x,1060
440,22010050706,11,12,self_x,450
441,22010050706,281,13,self_x,970
442,22010050706,21,14,self_x,430
443,22010050706,301,15,self_x,910
444,22010050706,371,16,self_x,1010
445,22010050706,341,17,self_x,870
446,22010050706,331,18,self_x,960
447,22010050706,351,19,self_x,890
448,22010050706,311,20,self_x,930
449,22010050706,361,21,self_x,940
450,22010050706,81,22,self_x,330
451,22010050706,31,23,self_x,350
452,22010050706,291,24,self_x,890
453,22010050706,51,25,self_x,390
454,22010050706,121,26,self_x,510
455,22010050706,261,27,self_x,790
456,22010050706,251,28,self_x,780
457,22010050706,171,29,self_x,640
458,22010050706,231,30,self_x,670
459,22010050706,241,31,self_x,740
460,22010050706,191,32,self_x,680
461,22010050706,161,33,self_x,620
462,22010050706,141,34,self_x,720
463,22010050706,151,35,self_x,700
464,22010050706,201,36,self_x,690
465,22010050706,211,37,self_x,600
466,22010050706,181,38,self_x,660
467,22010050706,221,39,self_x,620
468,22010051907,111,1,self_x,470
469,22010051907,91,2,self_x,350
470,22010051907,391,3,self_x,1060
471,22010051907,41,4,self_x,370
472,22010051907,81,5,self_x,330
473,22010051907,351,6,self_x,890
474,22010051907,121,7,self_x,510
475,22010051907,331,8,self_x,960
476,22010051907,11,9,self_x,450
477,22010051907,281,10,self_x,970
478,22010051907,301,11,self_x,910
479,22010051907,381,12,self_x,1050
480,22010051907,21,13,self_x,430
481,22010051907,291,14,self_x,890
482,22010051907,71,15,self_x,420
483,22010051907,321,16,self_x,950
484,22010051907,361,17,self_x,940
485,22010051907,371,18,self_x,1010
486,22010051907,31,19,self_x,350
487,22010051907,311,20,self_x,930
488,22010051907,51,21,self_x,390
489,22010051907,61,22,self_x,410
490,22010051907,131,23,self_x,520
491,22010051907,271,24,self_x,990
492,22010051907,341,25,self_x,870
493,22010051907,101,26,self_x,400
494,22010051907,251,27,self_x,780
495,22010051907,201,28,self_x,690
496,22010051907,161,29,self_x,620
497,22010051907,241,30,self_x,740
498,22010051907,181,31,self_x,660
499,22010051907,261,32,self_x,790
500,22010051907,211,33,self_x,600
501,22010051907,151,34,self_x,700
502,22010051907,171,35,self_x,640
503,22010051907,231,36,self_x,670
504,22010051907,221,37,self_x,620
505,22010051907,191,38,self_x,680
506,22010051907,141,39,self_x,720
507,32010050501,291,1,self_x,890
508,32010050501,11,2,self_x,450
509,32010050501,41,3,self_x,370
510,32010050501,361,4,self_x,940
511,32010050501,91,5,self_x,350
512,32010050501,71,6,self_x,420
513,32010050501,101,7,self_x,400
514,32010050501,61,8,self_x,410
515,32010050501,81,9,self_x,330
516,32010050501,371,10,self_x,1010
517,32010050501,321,11,self_x,950
518,32010050501,341,12,self_x,870
519,32010050501,281,13,self_x,970
520,32010050501,31,14,self_x,350
521,32010050501,111,15,self_x,470
522,32010050501,351,16,self_x,890
523,32010050501,271,17,self_x,990
524,32010050501,331,18,self_x,960
525,32010050501,381,19,self_x,1050
526,32010050501,301,20,self_x,910
527,32010050501,121,21,self_x,510
528,32010050501,131,22,self_x,520
529,32010050501,21,23,self_x,430
530,32010050501,391,24,self_x,1060
531,32010050501,51,25,self_x,390
532,32010050501,311,26,self_x,930
533,32010050501,171,27,self_x,640
534,32010050501,241,28,self_x,740
535,32010050501,201,29,self_x,690
536,32010050501,251,30,self_x,780
537,32010050501,181,31,self_x,660
