sid,gid,order,self_x,self_y,other_x,other_y,choice_x,s_y,s_x,r_y,r_x,bf_consciousness,bf_openness,bf_extraversion,bf_agreeableness,bf_neuroticism,cogabil,pe_D1_stud_natsci,pe_D1_stud_law,pe_D1_stud_socsci,pe_D1_stud_med,pe_monthinc,pe_age,pe_female,_merge,missing_data
12010050501,251,36,780,420,540,660,1,1,0,0,1,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,201,37,690,510,770,430,1,0,1,1,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,161,38,620,580,790,410,1,0,1,1,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050501,191,39,680,520,780,420,1,0,1,1,0,9.0,17.0,4.0,11.0,-1.0,3.0,1.0,0.0,0.0,0.0,400.0,21.0,1.0,both,False
12010050502,271,1,990,750,480,180,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,281,2,970,770,490,170,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,361,3,940,800,150,510,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,351,4,890,850,140,520,0,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,21,5,430,230,1030,710,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,341,6,870,870,140,520,0,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,41,7,370,290,1060,680,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,321,8,950,790,510,150,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,51,9,390,270,1050,690,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,61,10,410,250,1050,690,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,301,11,910,830,520,140,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,371,12,1010,730,190,470,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,91,13,350,310,680,1060,0,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,111,14,470,190,730,1010,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,311,15,930,810,510,150,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,101,16,400,260,690,1050,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,131,17,520,140,870,870,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,71,18,420,240,1040,700,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,11,19,450,210,1020,720,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,391,20,1060,680,330,330,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,121,21,510,150,810,930,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,81,22,330,330,680,1060,0,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,331,23,960,780,500,160,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,381,24,1050,690,270,390,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,291,25,890,850,520,140,1,0,0,1,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,31,26,350,310,1060,680,1,1,1,0,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,151,27,700,500,760,440,1,0,1,1,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,241,28,740,460,460,740,1,1,0,0,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,211,29,600,600,410,790,0,1,0,0,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,141,30,720,480,750,450,1,0,1,1,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,181,31,660,540,780,420,1,0,1,1,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,171,32,640,560,790,410,1,0,1,1,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,161,33,620,580,790,410,1,0,1,1,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,221,34,620,580,410,790,0,1,0,0,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,231,35,670,530,420,780,1,1,0,0,1,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
12010050502,201,36,690,510,770,430,1,0,1,1,0,5.0,22.0,4.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,800.0,21.0,0.0,both,False
